,id,metric
280,BRATS_393.nii.gz,89.46
281,BRATS_024.nii.gz,71.76
282,BRATS_293.nii.gz,87.52
283,BRATS_159.nii.gz,90.29
284,BRATS_059.nii.gz,87.69
285,BRATS_028.nii.gz,45.56
286,BRATS_128.nii.gz,73.67
287,BRATS_055.nii.gz,91.12
288,BRATS_155.nii.gz,88.24
289,BRATS_281.nii.gz,88.19
290,BRATS_036.nii.gz,68.59
291,BRATS_381.nii.gz,2.58
292,BRATS_136.nii.gz,84.18
293,BRATS_063.nii.gz,89.7
294,BRATS_163.nii.gz,72.49
295,BRATS_100.nii.gz,86.36
296,BRATS_171.nii.gz,74.81
297,BRATS_071.nii.gz,89.0
298,BRATS_112.nii.gz,82.47
299,BRATS_012.nii.gz,64.86
300,BRATS_423.nii.gz,75.3
301,BRATS_372.nii.gz,83.29
302,BRATS_272.nii.gz,87.09
303,BRATS_440.nii.gz,88.8
304,BRATS_311.nii.gz,91.22
305,BRATS_211.nii.gz,79.62
306,BRATS_260.nii.gz,93.93
307,BRATS_360.nii.gz,92.57
308,BRATS_431.nii.gz,88.86
309,BRATS_203.nii.gz,89.12
310,BRATS_303.nii.gz,82.18
311,BRATS_452.nii.gz,49.53
312,BRATS_256.nii.gz,74.05
313,BRATS_407.nii.gz,92.46
314,BRATS_356.nii.gz,89.46
315,BRATS_235.nii.gz,79.03
316,BRATS_082.nii.gz,43.14
317,BRATS_464.nii.gz,81.38
318,BRATS_335.nii.gz,89.63
319,BRATS_182.nii.gz,88.01
320,BRATS_248.nii.gz,52.88
321,BRATS_419.nii.gz,90.49
322,BRATS_348.nii.gz,81.49
323,BRATS_339.nii.gz,86.18
324,BRATS_468.nii.gz,85.33
325,BRATS_239.nii.gz,89.01
326,BRATS_344.nii.gz,75.98
327,BRATS_415.nii.gz,93.96
328,BRATS_244.nii.gz,75.71
329,BRATS_190.nii.gz,86.64
330,BRATS_327.nii.gz,93.71
331,BRATS_476.nii.gz,89.02
332,BRATS_090.nii.gz,80.94
333,BRATS_227.nii.gz,80.14
